Date,Sales
2023-12-19,9470
2023-12-19,4449
2023-12-19,3656
2023-12-19,5261
2023-12-20,2543
2023-12-21,8368
2023-12-23,6125
2023-12-24,5117
2023-12-25,6324
2023-12-25,6090
2023-12-28,8088
2023-12-30,6560
2023-12-30,1869
2023-12-30,9679
2023-12-31,8241
2024-01-01,6695
2024-01-06,8740
2024-01-07,7033
2024-01-08,3286
2024-01-10,5750
2024-01-11,4791
2024-01-11,1534
2024-01-12,3560
2024-01-12,1863
2024-01-13,2141
2024-01-13,3392
2024-01-15,8324
2024-01-15,6725
2024-01-17,7915
2024-01-18,3524
2024-01-20,2795
2024-01-21,9559
2024-01-22,4897
2024-01-24,1908
2024-01-24,3013
2024-01-24,1704
2024-01-25,6573
2024-01-25,1357
2024-01-26,7862
2024-01-26,9005
2024-01-27,3448
2024-01-29,9328
2024-02-01,5677
2024-02-02,1624
2024-02-04,8986
2024-02-04,1137
2024-02-04,4179
2024-02-05,5306
2024-02-05,2413
2024-02-06,9402
2024-02-12,3636
2024-02-14,1443
2024-02-14,9859
2024-02-14,6682
2024-02-15,5036
2024-02-17,7422
2024-02-17,7945
2024-02-18,9747
2024-02-19,5728
2024-02-21,2457
2024-02-22,1389
2024-02-24,3443
2024-02-24,9633
2024-02-25,3623
2024-02-28,7033
2024-02-28,3187
2024-02-29,1567
